State,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Texas,05/06/21,-4,2,28,-12,-29,6
Texas,05/07/21,-6,2,10,-11,-26,5
Texas,05/08/21,-5,8,20,-5,-13,-1
Texas,05/09/21,-2,6,-3,-7,-13,0
Texas,05/10/21,-9,-3,-11,-16,-29,7
Texas,05/11/21,-11,-3,-19,-17,-30,9
Texas,05/12/21,-6,3,-4,-12,-28,8
Texas,05/13/21,-4,1,25,-12,-29,6
Texas,05/14/21,-7,-1,12,-10,-28,5
Texas,05/15/21,-8,-2,20,-5,-14,1
Texas,05/16/21,-10,-7,-30,-9,-13,4
Texas,05/17/21,-10,-5,-17,-15,-29,8
Texas,05/18/21,-9,-2,-14,-15,-29,9
Texas,05/19/21,-8,-2,-10,-17,-29,10
Texas,05/20/21,-4,1,15,-14,-28,7
Texas,05/21/21,-8,-2,-1,-14,-27,6
Texas,05/22/21,-11,-5,-16,-13,-13,3
Texas,05/23/21,-7,-6,-26,-12,-12,3
Texas,05/24/21,-10,-6,-22,-18,-29,8
Texas,05/25/21,-6,-1,-5,-15,-29,8
Texas,05/26/21,0,4,12,-10,-27,6
Texas,05/27/21,0,4,27,-9,-29,6
Texas,05/28/21,-5,3,2,-7,-31,6
Texas,05/29/21,-7,4,16,-4,-15,1
Texas,05/30/21,-2,2,23,-7,-12,0
Texas,05/31/21,-9,-3,12,-20,-70,17
Texas,06/01/21,-4,5,2,-10,-33,8
Texas,06/02/21,-2,5,14,-11,-31,7
Texas,06/03/21,-5,1,5,-13,-32,8
Texas,06/04/21,-7,1,-1,-12,-31,7
Texas,06/05/21,-9,-1,1,-8,-10,2
Texas,06/06/21,-4,-2,1,-6,-10,2
Texas,06/07/21,-8,-2,-5,-14,-33,8
Texas,06/08/21,-4,1,9,-12,-33,8
Texas,06/09/21,-2,4,16,-10,-32,7
Texas,06/10/21,-3,3,26,-9,-33,7
Texas,06/11/21,-7,1,10,-8,-33,6
Texas,06/12/21,-10,0,13,-4,-11,0
Texas,06/13/21,-4,-1,3,-3,-11,1
Texas,06/14/21,-5,0,1,-11,-34,7
Texas,06/15/21,-4,1,5,-9,-34,7
Texas,06/16/21,-1,5,13,-7,-33,7
Texas,06/17/21,-2,3,25,-7,-34,6
Texas,06/18/21,-6,2,11,-6,-35,6
Texas,06/19/21,-8,3,17,-2,-13,0
Texas,06/20/21,-5,1,-2,-4,-13,0
Texas,06/21/21,-8,-4,-3,-11,-35,8
Texas,06/22/21,-5,-1,9,-9,-35,8
Texas,06/23/21,-4,2,14,-8,-33,7
Texas,06/24/21,-4,1,24,-8,-35,7
Texas,06/25/21,-8,-1,9,-8,-35,6
Texas,06/26/21,-10,-2,13,-3,-11,1
Texas,06/27/21,-6,-5,-5,-3,-10,1
Texas,06/28/21,-10,-5,-18,-13,-36,6
Texas,06/29/21,-9,-5,-10,-13,-37,8
Texas,06/30/21,-2,4,8,-6,-34,7
Texas,07/01/21,-1,5,21,-5,-35,7
Texas,07/02/21,-6,5,5,-3,-37,7
Texas,07/03/21,-11,4,10,-2,-17,2
Texas,07/04/21,-15,-1,30,-11,-19,0
Texas,07/05/21,-7,-4,2,-15,-66,15
Texas,07/06/21,-7,0,-4,-9,-37,9
Texas,07/07/21,-5,2,6,-9,-35,9
Texas,07/08/21,-6,0,12,-9,-36,8
Texas,07/09/21,-11,-3,-12,-10,-35,9
Texas,07/10/21,-11,-2,1,-3,-11,2
Texas,07/11/21,-7,-4,-8,-3,-10,2
Texas,07/12/21,-8,-2,-3,-9,-35,8
Texas,07/13/21,-6,-1,3,-8,-35,8
Texas,07/14/21,-3,3,9,-7,-34,7
Texas,07/15/21,-2,3,21,-6,-35,7
